Latency [ms],Avg Delay [s]
69,53.053333333333335
70,53.10666666666667
71,53.29333333333334
72,53.45333333333333
73,53.61333333333333
74,53.74666666666667
75,53.93333333333334
76,54.12
77,54.28
78,54.44
79,54.6
80,54.78666666666666
81,54.97333333333333
82,55.10666666666667
83,55.266666666666666
84,55.42666666666666
85,55.61333333333333
86,55.77333333333333
87,55.96
88,56.093333333333334
89,56.25333333333333
90,56.44
91,56.6
92,56.760000000000005
93,56.92
94,57.10666666666667
95,57.266666666666666
96,57.42666666666666
97,57.61333333333333
98,57.74666666666667
99,57.906666666666666
100,58.093333333333334
101,58.28
102,58.44
103,58.57333333333334
104,58.76
105,58.92
106,59.08
107,59.266666666666666
108,59.42666666666666
109,59.586666666666666
110,59.74666666666667
111,59.93333333333334
112,60.093333333333334
113,60.22666666666667
114,60.413333333333334
115,60.57333333333334
116,60.760000000000005
117,60.92
118,61.08
119,61.21333333333333
120,61.4
121,61.53333333333333
122,61.61333333333333
123,61.66666666666667
124,61.74666666666667
125,61.8
126,61.85333333333333
127,61.93333333333334
128,61.986666666666665
129,62.06666666666666
130,62.120000000000005
131,62.17333333333333
132,62.22666666666667
133,62.306666666666665
134,62.38666666666667
135,62.44
136,62.49333333333333
137,62.54666666666667
138,62.6
139,62.653333333333336
140,62.733333333333334
141,62.81333333333333
142,62.86666666666667
143,62.92
144,62.97333333333333
145,63.053333333333335
146,63.13333333333333
147,63.18666666666667
148,63.24
149,63.29333333333334
150,63.346666666666664
151,63.4
152,63.50666666666667
153,63.56
154,63.61333333333333
155,63.66666666666667
156,63.72
157,63.8
158,63.85333333333333
159,63.93333333333334
160,63.986666666666665
161,64.03999999999999
162,64.12
163,64.17333333333333
164,64.25333333333333
165,64.30666666666667
166,64.36
167,64.41333333333333
168,64.46666666666667
169,64.52
170,64.6
171,64.68
172,64.73333333333333
173,64.78666666666666
174,64.84
175,64.91999999999999
176,65.0
177,65.05333333333333
178,65.10666666666667
179,65.16
180,65.21333333333334
181,65.29333333333332
182,65.37333333333333
183,65.42666666666666
184,65.48
185,65.53333333333333
186,65.58666666666667
187,65.66666666666666
188,65.72
189,65.8
190,65.85333333333334
191,65.90666666666667
192,65.98666666666668
193,66.03999999999999
194,66.12
195,66.17333333333333
196,66.22666666666666
197,66.28
198,66.33333333333333
199,66.38666666666667
200,66.49333333333334
201,66.54666666666667
202,66.6
203,66.65333333333334
204,66.70666666666666
205,66.78666666666666
206,66.86666666666667
207,66.92
208,66.97333333333333
209,67.02666666666667
210,67.10666666666665
211,67.18666666666667
212,67.24
213,67.29333333333334
214,67.34666666666666
215,67.4
216,67.45333333333333
217,67.53333333333333
218,67.58666666666667
219,67.66666666666667
220,67.72
221,67.77333333333334
222,67.85333333333332
223,67.90666666666667
224,67.98666666666666
225,68.03999999999999
226,68.09333333333333
227,68.14666666666666
228,68.2
229,68.25333333333333
230,68.36
231,68.41333333333333
232,68.46666666666667
233,68.52
234,68.57333333333334
235,68.65333333333334
236,68.73333333333333
237,68.78666666666666
238,68.84
239,68.89333333333333
240,68.97333333333333
241,69.0
